pitcher,year,split_day,il_stints_to,is_on_il_at_split,days_since_il_return,days_on_il_to
663757,2018,93,0,0,,0
665560,2018,93,0,0,,0
622088,2018,93,0,0,,0
547179,2018,93,0,0,,0
676084,2018,93,0,0,,0
516782,2018,93,0,0,,0
642344,2018,93,0,0,,0
623439,2018,93,0,0,,0
592669,2018,93,0,0,,0
668731,2018,93,0,0,,0
668804,2018,93,0,0,,0
669106,2018,93,0,0,,0
628452,2018,93,0,0,,0
641990,2018,93,0,0,,0
543829,2018,93,0,0,,0
501981,2018,93,0,0,,0
453343,2018,93,0,0,,0
670095,2018,93,0,0,,0
545341,2018,93,0,0,,0
593700,2018,93,0,0,,0
671225,2018,93,1,1,0.0,28
621323,2018,93,0,0,,0
425877,2018,93,0,0,,0
518516,2018,93,0,0,,0
664921,2018,93,0,0,,0
543101,2018,93,0,0,,0
594840,2018,93,0,0,,0
621597,2018,93,0,0,,0
502210,2018,93,0,0,,0
656537,2018,93,0,0,,0
671250,2018,93,0,0,,0
645278,2018,93,0,0,,0
663911,2018,93,0,0,,0
643198,2018,93,0,0,,0
664337,2018,93,0,0,,0
660766,2018,93,0,0,,0
657757,2018,93,0,0,,0
665776,2018,93,0,0,,0
594809,2018,93,0,0,,0
607074,2018,93,0,0,,0
656555,2018,93,0,0,,0
650630,2018,93,0,0,,0
670722,2018,93,0,0,,0
622171,2018,93,1,1,0.0,20
641991,2018,93,0,0,,0
623457,2018,93,0,0,,0
605141,2018,93,0,0,,0
660831,2018,93,0,0,,0
678267,2018,93,0,0,,0
664941,2018,93,0,0,,0
656846,2018,93,0,0,,0
650346,2018,93,0,0,,0
640900,2018,93,0,0,,0
531588,2018,93,1,1,0.0,15
677910,2018,93,0,0,,0
642281,2018,93,0,0,,0
657090,2018,93,1,1,0.0,15
642399,2018,93,0,0,,0
641453,2018,93,0,0,,0
676085,2018,93,0,0,,0
519455,2018,93,0,0,,0
592743,2018,93,0,0,,0
669416,2018,93,0,0,,0
667657,2018,93,0,0,,0
641852,2018,93,0,0,,0
657669,2018,93,0,0,,0
594777,2018,93,0,0,,0
462101,2018,93,0,0,,0
595281,2018,93,0,0,,0
656821,2018,93,0,0,,0
621290,2018,93,0,0,,0
662098,2018,93,0,0,,0
448179,2018,93,0,0,,0
663445,2018,93,0,0,,0
663305,2018,93,0,0,,0
663322,2018,93,0,0,,0
606240,2018,93,0,0,,0
662144,2018,93,0,0,,0
650443,2018,93,0,0,,0
656751,2018,93,0,0,,0
642470,2018,93,0,0,,0
477132,2018,93,0,0,,0
607088,2018,93,0,0,,0
595978,2018,93,0,0,,0
669121,2018,93,0,0,,0
663527,2018,93,0,0,,0
664031,2018,93,0,0,,0
650736,2018,93,0,0,,0
650366,2018,93,0,0,,0
592314,2018,93,0,0,,0
660687,2018,93,0,0,,0
642773,2018,93,0,0,,0
665032,2018,93,0,0,,0
650518,2018,93,0,0,,0
670368,2018,93,0,0,,0
645917,2018,93,0,0,,0
665922,2018,93,0,0,,0
592662,2018,93,0,0,,0
664948,2018,93,0,0,,0
